id,name,thread
13,Page 14,"My eyelids are heavy. As the steering wheel leaves my hand it creates theillusion of setting the course on its own.Freezing cold...Uneasiness...Almost like being ready to fall asleep, I am just barely conscious, and now atmy limit to maintain even that."
14,Page 15 (Harry with his hand off the steering wheel),"""Ah......"""
15,Page 16 (Girl-like figure in front of the jeep),"When I saw the human figure on the road I cut the wheel hard, and then therewas nowhere else for my jeep and I to go but down into the darkness below thecliff."
16,Go to 1-1,"_______________________________________________________________________________第一章　　「到着」                                                          1-1車で目覚めるハリー                                      (Harry in wrecked jeep)Chapter 1   ""Arrival""Harry wakes up in his jeep"
17,Page 1 (Black),"The silence pierces my ears.As the wind blew, it was accompanied by piercing cold.Where am I? I can feel light faintly passing through myeyelids."
18,Page 2,"I don't seem to be hurt.That much is clear to me because I don't feel any pain in my body.No, perhaps I've suffered an injury that doesn't cause any pain?"
19,Page 3,"I...slowly try opening my heavy eyelids.第一章　　「到着」「季節外れの雪」Chapter 1   ""Arrival""Out of season snow"
20,Page 4 (Harry in wrecked jeep),"Out of season snow is pouring into the town.Other than the sound of droplets of ice hitting the ground, there is nothingelse to be heard.""Silent Hill""That is what is assuredly written on the sign by the side of the road. Withoutrealizing it, Cheryl and I have reached our destination."
21,Page 5,"All my memories up to that point are gone.The wind is blowing in...When I take a look next to me, I am shocked."
22,Page 6 (Empty seat of jeep),"The passenger door has been left open.Cheryl is nowhere to be seen.第一章　　「到着」「ゴーストタウン」Chapter 1   ""Arrival""Ghost Town"
23,Page 7,"""Silent Hill.""This town, which should just be a resort area, appears to have become justlike a ghost town for some reason, or maybe it was waiting for us toarrive, or perhaps the town just nestled up to us..."
24,Page 8,"So now I am alone.Cheryl is not here.While I was sleeping, no, while I was knocked out Cheryl opened thepassenger door and stepped out ""alone"" into this tourist spot that isruled by an unsettling silence."
25,Page 9,And then she left me to head somewhere...
26,Page 10 (Harry in front of wrecked jeep),"I tightly close my jacket around my neck and set off on foot insearch of Cheryl.I wonder what in the world happened here?Nothing makes any sense.The silence, the out of season snow...And strangest of all, the entire town is wrapped in a thick fog."
27,Go to 1-2,"_______________________________________________________________________________第一章　　「無人の街」                                                      1-2人影を捜し求めて                               (Harry in front of wrecked jeep)Chapter 1   ""The Deserted Town""In search of anyone"
28,Page 1 (Harry in front of wrecked jeep),"""What is going on...""A) Cheryl's destination is..."
29,Go to 1-3,B) Is there no one in the town...
30,Go to 1-4,"_______________________________________________________________________________第一章　　「シェリルの行方」                                                1-3シェリル捜索に乗り出す                               (Street corner, heavy fog)Chapter 1   ""Cheryl's Whereabouts""Beginning the search for Cheryl"
31,"Page 1 (Street corner, heavy fog)",I begin to run.Only the sounds of my footsteps echo in the surroundings.Just where in the world has Cheryl gone?Did someone lead her away?Various concerns run through my mind.
32,Page 2 (Cheryl appears),"(Ta ta ta ta...) (Onomatopoeia for footsteps)I suddenly get the feeling that I heard footsteps other than my own, so I stopmoving right away to check it out."
33,Page 3,"Through the thick fog I can see a figure that is about the size of a child.""Cheryl?""Without a thought I cry out.The figure doesn't move at all."
34,Page 4 (Cheryl disappears),"At the moment I begin to move slowly towards the figure it starts to run.I fiercely chase after the figure.That's definitely Cheryl.Even though it is faint, I would not mistake someone else for Cheryl."
35,Page 5,"However, no matter how much I run I cannot catch up.Instead the figure is gradually getting farther away from me.The figure puts on speed as if it is gliding through the air."
36,"Page 6 (Middle of street, heavy fog)","The figure appears to be absorbed by the fog as it begins to disappear.In order not to lose it, I run with all my strength while keeping my visioncentered on the figure."
37,Page 7,I then notice that I have come to an alley surrounded by buildings.
38,Page 8 (Dark alley),"I don't know how, but it is like a cover was placed over the sky, which hadprovided light until now, and the area has become engulfed in darkness."
39,Go to 1-5,"_______________________________________________________________________________第一章　　「住人の存在」                                                    1-4他に誰かいないものか                                 (Street corner, heavy fog)Chapter 1   ""The Presence of Townspeople""Is there no one else here?"
40,"Page 1 (Street corner, heavy fog)","I thought, I must find out if there is anyone other than myself here.This is definitely Silent Hill.I recognize the signboard on that store.A long time ago, when I was young I visited here once."
41,Page 2,"All the doors on the shops and houses are tightly shut.No...Among them there is one shop with its door open, but there is no sign ofanyone inside."
42,Page 3,It feels like just the people here suddenly vanished.
43,Go to 1-3,"_______________________________________________________________________________第一章　　「複数の足音」                                                    1-5不気味な裏路地                                                     (Dark alley)""Multiple Footsteps""The eerie alley"
44,Page 1 (Dark alley),From the darkness I can hear multiple footsteps coming this way...A ) I don't know who it is. I will take a look.
45,Go to 1-6,B ) I am going to get out of here...I don't have anything with me that can be used as a weapon.
46,Go to 1-7,"_______________________________________________________________________________第一章　　「耳を澄まして」                                                  1-6様子をうかがうハリー                                               (Dark alley)Chapter 1   ""Listen Carefully""Harry looks around"
47,Page 1 (Dark alley),"I stood ready.""What the... What are they...""With beast-like rage, they have closed in to right where I am."
48,"Page 2 (Mumblers appear, then fade)","""Ah...""And then my vitality is sucked away by these strangely shaped monsters until Ifinally lose consciousness............"
49,Go to 2-1,"_______________________________________________________________________________第一章　　「闇への逃亡」                                                    1-7逃げ出すハリー                                                     (Dark alley)Chapter 1   ""Escape into the Darkness""Harry runs away"
50,Page 1 (Dark alley),I've got to get away.But I can't go back the way I came...because that eerie presenceis back there...
51,Page 2,So I move further in.I can only move gradually through the narrowing pitch-black alley byfeeling around with my hands.
52,Page 3,"But I only end up reaching a dead end.Metal fences surround the area, and they are so high that I don't think thatI can climb over them."
53,Page 4,They are coming from behind...
54,Page 5,"I stood ready.""What the... What are they...""With beast-like rage, they have closed in to right where I am."
55,"Page 6 (Creatures appear, then fade)","""Ah...""And then my vitality is sucked away by these strangely shaped monsters until Ifinally lose consciousness............"
56,Go to 2-1,"_______________________________________________________________________________第二章　　「運命の出会い」                                                  2-1シビル・ベネットと出会う                                    (Close up of radio)Chapter 2   ""The Fated Meeting""Harry meets Cybil Bennet"
57,Page 1 (Black),Cybil Bennet.She is a full time police officer working in the neighboring townof Brahms.There was no one else in the cafe other than her and Harry.She took a seat at the counter and waited for Harry to awaken.Movie: Harry wakes up in Cafe 5 to 2
58,Page 2,"I suddenly awoke.Where is this place? Why am I here? Was I brought here by someone? There isno boundary between dream and reality, just confusion."
59,Page 3,"As I lay on the bench seat in the cafe my eyes slowly begin to focus.The woman sitting at the counter stands and folds her arms. She walks overand looks down at me.第二章　　「カフェ」「シビル・ベネット」Chapter 2   ""Cafe""Cybil Bennet"
60,Page 4 (Cybil standing in the center of the cafe),"She is wearing a police uniform.The woman smiles a little bit, as she appears to be relieved that I haveregained consciousness."
61,Page 5,"""It looks like you have come around.""""Who are you?""I try talking to the unfamiliar woman."
62,Page 6,"""I'm Cybil.Cybil Bennet.I'm here because all communication with this town suddenly went dead and so Icame to investigate."""
63,Page 7,"""I'm...Harry Mason. I brought my daughter to this town for some sightseeing,but on the way there was an accident and I lost consciousness...Oh, yeah, Cybil...You haven't seen a little girl in this town have you?"""
64,Page 8 (Cybil's picture changes),"""A little girl...No, I haven't seen her...""""When I came to after the accident my daughter was nowhere to be seen.The passenger door was open and she was gone."
65,Page 9,"Cheryl...uh, sorry, my daughter's name is Cheryl...She is a timid person, so it is hard to imagine that she headed out into thisweird town alone.Plus I was there in the driver's seat...And since she gave me no warning it just doesn't make sense."
66,Page 10,"Are you familiar with this area?There is no sign of anyone, and what is going on with the snow at this timeof year...Just what in the world has happened in this town?""I said all of this while breathing deeply."
67,Page 11 (Cybil's picture changes),"""I'm afraid I don't know either.I still haven't seen anyone other than you.It's like the town is as silent as a graveyard, left without even the meansto contact any neighboring towns.""""I see."""
68,Page 12,"""You also had an accident, right?I thought it was a good idea to head to the police station in this town aloneon my motorcycle, but...I guess I was going a little too fast."
69,Page 13,A girl suddenly jumped out into the road...I am pretty sure it was a girl...Ialmost hit her.I cut the handlebars hard in order to avoid her...After that I can barely remember anything......
70,Page 14,"When I came to I was lying in the street in front of this cafe.So naturally I came in here to get out of the snow.And then I found you sleeping there..."""
71,Page 15,"""I...was having some kind of a terrible dream.As for if I made it here on my own, I don't remember at all...Just what in the world has happened in this town...What is going on with everything?"""
72,Page 16,"""Well, the situation is definitely strange.I will head back to Brahms for reinforcements, and then return here.How about you?""Cybil stood and fixed her collar with resolute fortitude."
73,Page 17,"""I've got to look for Cheryl...There is no way I can just leave her here alone."""
74,Page 18 (Gun in Cybil's hand),"""I see. Well, I'll give you this then.You never know what might happen under these circumstances.If you feel threatened then pull the trigger without hesitating."""
75,Go to 2-2,"_______________________________________________________________________________第二章　　「拳銃」　　　　                                                  2-2拳銃を差し出されて                                        (Gun in Cybil's hand)Chapter 2   ""Handgun""Cybil holds out the handgun"
76,Page 1 (Gun in Cybil's hand),I take the gun into my hand.A ) Thanks...I hope I don't have to use it...
77,Go to 2-3,"B ) Thank you, but...I'm no good with guns."
78,Go to 2-4,"_______________________________________________________________________________第二章　　「拳銃の重み」　　                                                2-3シビルより銃を受け取る                                    (Gun in Cybil's hand)Chapter 2   ""The Weight of the Handgun""Harry receives the gun from Cybil"
79,Page 1 (Cybil standing in the center of the cafe),Having never handled a handgun before I am surprised by how heavy it is.
80,Page 2,"""But you...will you be alright?""""I'm not like the average girls around here.I have undergone proper training."""
81,Page 3 (Close up of Cybil in front of cafe door),"Cybil placed her hand on the exit door, but then she turns and faces meagain."
82,Page 4,"""Harry. Don't go shooting me by mistake or anything.I haven't had any training on how to stop bullets.""She smiled after saying this and then disappeared into the thick fog."
83,Page 5 (Empty cafe),"(No text, page automatically is dismissed)"
84,Go to 2-5,"_______________________________________________________________________________第二章　　「銃器は苦手」　　                                                2-4使い方を教えるシビル                                        (Close up of radio)Chapter 2   ""No Good with Guns""Cybil shows Harry how to use the gun"
85,Page 1 (Cybil standing in the center of the cafe),"""Thank you, but...I'm no good with guns.I haven't even touched one.I can't handle it."""
86,Page 2 (Gun in Cybil's hand),"Amazed, Cybil takes a deep breath.""It's simple.I'll show you how to use it.See, first hold it in your right hand, then place your forefinger on thetrigger.""I reluctantly followed her instructions."
87,Page 3,"""Like this?""""Yes. Now place your left hand on your right hand so that it doesn't move.Then all you have to do is slide this, fix your aim, and pull the trigger.""""Like this?"""
88,Page 4 (Black),Bang!The bullet grazes Cybil's cheek and penetrates the wall of the cafe. One ofpictures on the wall falls.
89,Page 5 (Cybil standing in the center of the cafe),"""He...Hey!You need to watch it!!""""I'm sorry, I was just doing what you said and it just...""""No it's not ""and it just...""Just a few centimeters over and you would have been a murderer!"""
90,Page 6,"I lost even more self confidence.""Well, it's all right.Please use it carefully.Well then...I'm going.""The sound of the door closing reverberated woefully inside the cafe."
91,Page 7 (Close up of Cybil in front of cafe door),"(No text, page automatically is dismissed)"
92,Go to 2-5,"_______________________________________________________________________________第二章　　「再び一人に」　　                                                2-5カフェを後にするシビル                                      (Close up of radio)Chapter 2   ""Alone Again""Cybil leaves the cafe"
93,Page 1 (Harry with the gun in the cafe),"After being left alone in the cafe I gazed at the handgun Cybil gave me for alittle while.And then I thought about Cheryl, who had disappeared in this town."
94,Page 2,"The figure I saw in the fog...That was definitely Cheryl.But she didn't answer my calls, and she was quite possibly moving away fromme?"
95,Page 3,"I don't understand...I am getting a bit mixed up.Still, the one thing I know for sure is that Cheryl has vanished in this town."
96,Page 4,"All I can do is look for her.I may not have any knowledge of the surroundings or any clues, but I won'tfind Cheryl if I stay here.I stood up energetically and placed my hand on the cafe door."
97,Page 5,(JiJiJi...JiJi...JiJiJi.........) (Onomatopoeia for radio static)
98,Page 6,Something is making noise.
99,Page 7,(JiJiJiJi...JiJiJiJi...JiJi...) (Onomatopoeia for radio static)
100,Page 8,?
101,Go to 2-6,"_______________________________________________________________________________第二章　　「音の源」　　　　　　　　　　　　　　　　　　　　　　　　　　　　2-6どこかで音が鳴っている…                                    (Close up of radio)Chapter 2   ""The Source of the Noise""Noise is coming from somewhere..."
102,Page 1 (Harry with the gun in the cafe),What is that noise?A ) It's somewhere inside the cafe...
103,Go to 2-7,B ) It's somewhere outside the cafe...
104,Go to 2-8,"_______________________________________________________________________________第二章　　「カフェの中に？」　　　　　　　　　　　　　　　　　　　　　　　　2-7ラジオを拾い上げるハリー                                    (Close up of radio)Chapter 2   ""Inside the Cafe?""Harry picks up the radio"
105,Page 1 (Harry with the gun in the cafe),"I look around the cafe.I walk in the direction the noise is coming from.And then I pick up the source of the noise.""Radio?"""
106,Page 2 (Close up of radio),"(No text, page automatically is dismissed)"
107,Page 3 (Air Screamer breaking cafe window),At that moment the window glass shattered with a thunder and a giant birdlikecreature flew into the cafe.
108,"Page 3 (Air Screamer, animated)","No, it is not a bird.It is a creature with reddish-brown skin that looks as if it has been burned."
109,Page 4,In its belligerent pale green eyes it is clear that my life is in danger.
110,Go to 2-9,"_______________________________________________________________________________第二章　　「カフェの外に？」　　　　　　　　　　　　　　　　　　　　　　　　2-8窓越しのラジオ                                              (Close up of radio)Chapter 2   ""Outside the Cafe?""The radio beyond the window"
111,Page 1 (Street outside of the cafe),Outside?I open the door and hurry out into the street. The snow still continues tofall.I breathe in the cold outside air and it feels like waking up.
112,Page 2,The noise I just heard until now had stopped.Is the wind drowning it out?My question was soon answered.
113,Page 3,"Through the glass I can see that a radio has been placed on top of a tableinside the cafe.""Is it that...""I immediately went back inside the cafe."
114,Page 4 (Close up of radio),"The noise has stopped. Thinking that it may come in handy for something,I slide the portable radio into my pocket and once again walk toward thecafe's exit."
115,Go to 2-17,"_______________________________________________________________________________第二章　　「空からの使者」　　　　　　　　　　　　　　　　　　　　　　　　　2-9突然の襲撃にハリーは…                      (Air Screamer breaking cafe window)Chapter 2   ""Messenger from the Sky""In this sudden assault, Harry..."
116,"Page 1 (Air Screamer, animated)",I...A ) hide underneath a table.
117,Go to 2-10,B ) ready the handgun in my inexperienced hands.
118,Go to 2-11,C ) run outside of the cafe.
119,Go to 2-12,"_______________________________________________________________________________第二章　　「テーブルの下へ」　　　　　　　　　　　　　　　　　　　　　　　 2-10咄嗟に隠れるハリー                          (Air Screamer breaking cafe window)Chapter 2   ""To Under a Table""Harry instantly hides"
120,Page 1 (Animated flying creature),"I immediately hid underneath a nearby table.However, it was smarter than I thought."
121,Page 2,"At a glance its legs appeared thin, but it spreads them wide and uses itslong nails as a tool to lift the table up and then lets out a loud laugh."
122,Page 3,I don't have a choice. I have to try and fight. But if I randomly fireblindly then I will only waste bullets.
123,Page 4,"That's it. I must set my aim. Its body. When it spreads its wings, at thatmoment when its body is undefended, I will..."
124,Page 5,"It swings its large arm-like wing down at me and using that ""weapon"" it justmisses my neck."
125,Page 6,"This is my chance.The target is its body...Mumbling, I tell myself that.However...I can't fix my aim very well.My hands are shaking.(Gun shot sound, then Air Screamer falls)"
126,Page 7 (Dead Air Screamer on cafe floor),When that single bullet hit it...It finally lost its life force and fell to the floor like a rag.
127,Go to 2-16,"_______________________________________________________________________________第二章　　「発砲」　　　　　　　　　　　　　　　　　　　　　　　　　　　　 2-11慣れない手で拳銃を構える                    (Air Screamer breaking cafe window)Chapter 2   ""Fire""Harry readies the handgun in his inexperienced hands"
128,"Page 1 (Air Screamer, animated)","""Damn!""I firmly held the handgun that I just received, quickly pointed it at thecreature, and pulled the trigger."
129,Page 2,"I am not used to using guns, so some of my shots hit the ceiling."
130,Go to 2-13,"_______________________________________________________________________________第二章　　「カフェの外へ」　　　　　　　　　　　　　　　　　　　　　　　　 2-12狭い室内では戦えない                        (Air Screamer breaking cafe window)Chapter 2   ""To Outside the Cafe""Harry cannot fight in the tight space indoors"
131,"Page 1 (Air Screamer, animated)",I've got to get out of here. Outside.I can't move about so well in this tight indoor area.However...
132,Page 2,"Almost as if reading my mind, it moves to the only door in or out of the cafe,blocking my route.I can't escape."
133,Page 3,"Then right as I think that maybe it has pulled one of its wings far back,it swings it down at me just missing my neck.""Ah!"""
134,Page 4,"I just barely avoided death, but in the process I ended up falling backwards."
135,Page 5,"However, I didn't let go of the gun."
136,Page 6,The target is the wing...
137,Page 7,"If I can destroy its wing it won't be able to move.Then I can finish it at my leisure.(Gun shot sound, then Air Screamer falls)"
138,Page 8 (Dead Air Screamer on cafe floor),"My one shot hits the wing, blasting a hole in it. The creature loses altitudeas it falls to the floor."
139,Page 9,"I can't afford to waste bullets.I crush it with the with the thick sole of my shoe many times.As its strange cries die out, a dark red stain spreads out on the floor."
140,Go to 2-16,"_______________________________________________________________________________第二章　　「照準」　　　　　　　　　　　　　　　　　　　　　　　　　　　　 2-13狙いを一つに絞って                          (Air Screamer breaking cafe window)Chapter 2   ""Aim""Focusing the aim on one thing"
141,"Page 1 (Air Screamer, animated)",I limit my aim...A ) Its vulnerable spot is...its body.
142,Go to 2-14,B ) Aiming at the wing will bring it down.
143,Go to 2-15,"_______________________________________________________________________________第二章　　「狙いは胴体」　　　　　　　　　　　　　　　　　　　　　　　　　 2-14胴体に照準を絞る                            (Air Screamer breaking cafe window)Chapter 2   ""The target is its body""Harry focuses his aim on its body"
144,"Page 1 (Air Screamer, animated)","That's it. I must set my aim.Its body.When it spreads its wings, at that moment when its body is undefended, Iwill..."
145,Page 2,"It swings its large arm-like wing down at me and using that ""weapon"" it justmisses my neck."
146,Page 3,"This is my chance.The target is its body...Mumbling, I tell myself that."
147,Page 4,"However...I can't fix my aim very well.My hands are shaking.(Gun shot sound, then Air Screamer falls)"
148,Page 5 (Dead Air Screamer on cafe floor),As my third shot pierces it...It finally lost its life force and fell to the floor like a rag.
149,Go to 2-16,"_______________________________________________________________________________第二章　　「狙いは翼」　　　　　　　　　　　　　　　　　　　　　　　　　　 2-15翼に照準を絞る                              (Air Screamer breaking cafe window)Chapter 2   ""The target is its wing""Harry focuses his aim on its wing"
150,Page 1 (Animated Air Screamer),Those large wings.It uses them nimbly to maintain its balance in the air.
151,Page 2,"If I destroy its wing it won't be able to move.Then I can finish it at my leisure.(Gun shot sound, then Air Screamer falls)"
152,Page 3 (Dead Air Screamer on cafe floor),"My one shot hits the wing, blasting a large hole in it. The creature losesaltitude as it falls to the floor."
153,Page 4,"I can't afford to waste bullets.I crush it with the with the thick sole of my shoe many times.As its strange cries die out, a dark red stain spreads out on the floor."
154,Go to 2-16,"_______________________________________________________________________________第二章　　「戦いを終えて」　　　　　　　　　　　　　　　　　　　　　　　　 2-16夢じゃなかったというのか…                    (Dead Air Screamer on cafe floor)Chapter 2   ""After the Battle""This is not a dream..."
155,Page 1 (Close up of Harry in the cafe),"""What the hell...This is not a dream.What's happening to this place?"""
156,Page 2,Only the sound of my fist hitting the table echoes in the cafe.At my feet the still warm corpse of the creature lies in the center of a poolof oddly colored liquid.
157,Go to 2-17,"_______________________________________________________________________________第二章　　「カフェを後に」　　　　　　　　　　　　　　　　　　　　　　　　 2-17裏路地へ向かうハリー                            (Close up of Harry in the cafe)Chapter 2   ""Harry Leaves the Cafe""Harry heads for the alley"
158,Page 1 (Street outside of the cafe),After leaving the cafe I decided to first head toward that alley from before.
159,Go to 3-1,"_______________________________________________________________________________第三章　　「カフェを後に」　　　　　　　　　　　　　　　　　　　　　　　　  3-1これから…                                           (Air Screamers in the sky)Chapter 3   ""Harry Leaves the Cafe""Now..."
160,Page 1 (Air Screamers in the sky),Black figures fly about in the heavens as if searching for prey.I then come to realize a constant.The static on the radio changes based on their movements.
161,Page 2,The closer the monsters come to me the louder the static gets.My sight is hindered by the fog and on top of that the weather is so bad thatsnow is falling.So this is extremely important information.
162,Page 3,"I run through the snow that appears to have no intention of stopping.Increasing my speed each time the static comes in on the radio, I proceedinto the fog.第三章　　「カフェを後に」「路地裏」Chapter 3   ""Harry Leaves the Cafe""Back alley"
163,Page 4 (Alley),Following the thin thread of my memory I finally arrive at the alley frombefore.The evil atmosphere has dissipated and light pours in along with snow from inbetween the buildings.
164,Page 5,I move into the alley and it dead ends after a bit.
165,Page 6 (Sketchbook),At the end of the alley I see a familiar sketchbook that appears to have beenthrown away.The likeness of me that Cheryl drew is on the cover of the sketchbook.
166,Page 7,"""This is definitely Cheryl's...""(Sketchbook opens)"
167,Page 8 (Open sketchbook),"I try opening it.Inside the following is written in red ink:""to School""第三章　　「カフェを後に」「レビン通り沿い」Chapter 3   ""Harry Leaves the Cafe""Along Levin Street"
168,Page 9 (Black),Along Levin street I slip through the backdoor of a house that had adoghouse and then head for the school.The surroundings gradually fill with darkness and only the flashlight on mychest illuminates this strange street.
169,Go to 4-1,"_______________________________________________________________________________第四章　　「小学校校門」　　　　　　　　　　　　　　　　　　　　　　　　　  4-1さらなる闇の到来                                              (School entrance)Chapter 4   ""The Entrance to the Elementary School grounds""The advent of further darkness"
170,Page 1 (School entrance),I pass through the entrance to the elementary school grounds. When I open thedoor that leads into the school building I see that even more darkness iswaiting for me inside.
171,Page 2,"It is possible that Cheryl scribbled those letters ""to School.""I can't be sure whether Cheryl is here or not.It's just that I haven't a clue other than that sketchbook."
172,Page 3,"A guide map of the school has been tacked to the sidewall of the entrance witha rusted thumbtack.After removing the map from the wall I place it in my pocket and push open theheavy door that leads into the interior of the school building.第四章　　「小学校」「学校廊下」Chapter 4   ""Elementary School""School hallway"
173,"Page 4 (School hallway, dark)","My footsteps, and the creaking of the hallway...They sound like screams as their reverberations rock my eardrums.I had been walking carefully step by step, but without realizing it I hadbegan to run."
174,Page 5,"There is no sign of anyone.The silent innards of the school building are dark, and with only theflashlight on my chest it is impossible for me to see any of the details.Cheryl doesn't have a flashlight, so if she came in here and got lost thenshe probably wouldn't even be able to walk around."
175,Page 6,Since I have my flashlight turned on she should be able to notice me easily...At least I have that modest hope.
176,Page 7,"I then notice that I have come to the entrance to the music room.I place my hand on the heavy door.第四章　　「小学校」「音楽室」Chapter 4   ""Elementary School""Music room"
177,Page 8 (Piano in music room),When I open the door I see that the inside of the room is large and there isa grand piano placed in its center.
178,Page 9,"As I sit on the chair of the piano I am shocked.The seat is still warm, as if someone had been sitting here just a few minutesbefore.Cheryl's smile runs through the back of my mind."
179,Page 10,"Cheryl often played the cheap upright piano in our home.It had become nice background music when I was working.Perhaps Cheryl had come to the music room?第四章　　「小学校」「グランドピアノ」Chapter 4   ""Elementary School""The grand piano"
180,Page 11 (Piano keys),"I gently open the cover over the piano keys.I notice that there is red mixed in among the black and white.I try touching the liquid.It has a lukewarm feel, it is still holding heat.It is definitely blood."
181,Page 12,"My heart pounds in my chest like an alarm bell.The large amount of blood spilled on the keys...If this is Cheryl's blood then she may no longer be alive.I wipe the stain off my hands onto my jeans, stand, and leave the music room."
182,Page 13 (Black),"At the same time I closed the door thought I heard someone scream.........Maybe it was just my imagination?第四章　　「小学校廊下」「暗がりの中庭」Chapter 4   ""Elementary School Hallway""The dark courtyard"
183,"Page 14 (School hallway, dark)",I walk down the hallway.The sleety mixture of snow pounds hard against the windows facing thecourtyard.I take a look through a window down at the dark courtyard.
184,Page 15,The not so large courtyard is dotted with areas in which withered plants aregrowing. In addition to that an old clock tower is faintly visible.From here I cannot determine what time the clock is pointing to.
185,Page 16,"Wait.Something appears to be wriggling about in the darkness.An animal? No, it's dark and I can't see so well, but it is slowly moving ontwo legs.It appears to be searching for prey."
186,Page 17 (Radio begins making noise),(JiJiJiJi...JiJiJi.........) (Onomatopoeia for radio static)At that moment the radio I had clipped to my chest suddenly began making noise.As I return my sight to the hallway a sharp pain runs through my thigh.
187,"Page 18 (Mumbler, animated)",When I look down I see that the tips of those long claws are piercing my thigh.Those oddly shaped monsters.They are posed like they want to hug me and have gathered around my waist.They are about to bite me.
188,Go to 4-2,"_______________________________________________________________________________第四章　　「小学校廊下」　　　　　　　　　　　　　　　　　　　　　　　　　  4-2奇怪な化け物と遭遇                                       (School hallway, dark)Chapter 4   ""Elementary School Hallway""Encounter with the oddly shaped monsters"
189,"Page 1 (Mumbler, animated)",I...A ) Instantly pushed the monster away with my hands.
190,Go to 4-3,B ) Readied the handgun and fired.
191,Go to 4-4,"_______________________________________________________________________________第四章　　「小学校廊下」　　　　　　　　　　　　　　　　　　　　　　　　　  4-3払いのけるハリー                                         (School hallway, dark)Chapter 4   ""Elementary School Hallway""Harry pushes"
192,"Page 1 (Mumbler, animated)",With my right hand I push on its head part with force and knock it away. Itthen totters and falls down on its face.That was when I noticed that I had been completely surrounded by thosemonsters.
193,Page 2,I ready the gun.I fix my aim on their heads and pull the trigger with my trembling indexfinger.(Gun shot sound)
194,Page 3,I continue to shoot as each one of them appears.The smoke from the gun powder began to fill the air around me so I placed onehand over my mouth.(Fade to red and radio stops)
195,Go to 4-5,"_______________________________________________________________________________第四章　　「小学校廊下」　　　　　　　　　　　　　　　　　　　　　　　　　  4-4発砲するハリー                                           (School hallway, dark)Chapter 4   ""Elementary School Hallway""Harry fires"
196,"Page 1 (Mumbler, animated)",I instantaneously readied the hand gun I was carrying and fired at the monster.(Gun shot sound)
197,Page 2,"""Ow!""I hit it, but its long claws dug deeper into my thigh, widening the wound."
198,Page 3,With my right hand I push on its head part with force and knock it away. Itthen totters and falls down on its face.That was when I noticed that I had been completely surrounded by thosemonsters.
199,Page 4,I ready the gun.I fix my aim on their heads and pull the trigger with my trembling indexfinger.(Gun shot sound)
200,Page 5,I continue to shoot as each one of them appears.The smoke from the gun powder began to fill the air around me so I placed onehand over my mouth.(Fade to red and radio stops)
201,Go to 4-5,"_______________________________________________________________________________第四章　　「小学校廊下」　　　　　　　　　　　　　　　　　　　　　　　　　  4-5呆然と立ちすくむハリー                                   (School hallway, dark)Chapter 4   ""Elementary School Hallway""Harry stands paralyzed in amazement"
