id,name,thread
46,Page 4 (Destroyed street),"All the roads leading out of town were cut off, and it was as if theentire town was floating in the air. There was no way for anyone to enter thetown."

47,Page 9 (Alternate street) (Groaner appears),"""What...is that?""From off in the fog, the four-legged thing moved at a slow pace as itgradually closed the distance between it and her."

48,Go to 2-2,"第二章　　「脱出への道」                                                    2-2獰猛な化け物に襲われて                                       (Alternate street)Chapter 2   ""The Path to Escape""Attacked by the ferocious monster"

49,Page 1 (Alternate street) (Groaner appears),The monster...A ) attacked Cybil.

50,Go to 2-3,B ) just ran away.

51,Go to 2-4,"第二章　　「脱出への道」                                                    2-3シビルに襲い掛かる化け物            (Alternate street with close up of Groaner)Chapter 2   ""The Path to Escape""The monster attacks Cybil"

52,Page 1 (Alternate street with close up of Groaner),"""KYA!""Cybil just manages to duck in time and the fierce monster passes over herhead. It continues forward just a little bit, and then turns around.It is clear that it is coming after Cybil."

53,"Page 4 (Street, heavy fog)","She stomps on the pavement as she moves forward. In the corner of her eyeCybil sees buildings appear out of and disappear into the fog, and at somepoint she ends up losing her bearings and becomes unsure of her location.She then notices that she no longer senses the presence of the monster."

54,Go to 2-5,"第二章　　「脱出への道」                                                    2-5落ち着きを取り戻す                                           (Alternate street)Chapter 2   ""The Path to Escape""Calming down"

55,Page 1 (Alternate street),"The monster just moves right past Cybil, and then continues away from her.""Clearly...Clearly it is headed somewhere with some purpose."""

56,"Page 1 (City street, heavy fog)","Cybil and Cheryl wandered the town, literally with no destination.Their cheeks were numb, so they no longer even felt the cold pelting of thesnow."

57,Go to 2-6,"第二章　　「カフェを後に」                                                  2-6込み上げる不安                                               (Alternate street)Chapter 2   ""After Leaving the Cafe""Rising uneasiness"

58,Go to 3-1,B ) is overcome with hopelessness.

59,Go to 3-6,"第三章　　「警察署」                                                        3-1警察署を探して                                        (Front of Police Station)Chapter 3   ""The Police Station""Searching for the Police Station"

60,Page 3 (Front of Police Station),"""Just how long have I been walking?""As she saw the word ""POLICE"" appear from out of the fog her entire body wascompletely exhausted."

61,Page 4 (Inside of Police Station),"She opens the glass door at the entrance and heads inside. As she does thisshe sees that no one is here, which is just as she had expected.The lack of any sound is painful to her ears."

62,Go to 3-2,"第三章　　「警察署」                                                        3-2会議室の中で                                         (Inside of Police Station)Chapter 3   ""The Police Station""Inside the meeting room"

63,Page 1 (Inside of Police Station),Cybil senses someone...Somewhere in this small room...

64,Go to 3-3,B ) Someone is here...

65,Go to 3-4,"第三章　　「警察署」                                                        3-3外された受話器                                       (Inside of Police Station)Chapter 3   ""The Police Station""The dangling telephone receiver"

66,Page 7 (Black),"""...Da......"""

67,Page 12,"Cybil approaches the two, reads something in the eyes of the girl, pullsher gun from a pocket, and then places the muzzle against Dahlia's forehead."

68,Go to 3-5,"第三章　　「警察署」                                                        3-5警察署を後に                                         (Inside of Police Station)Chapter 3   ""The Police Station""Leaving the Police Station"

69,Page 2 (Close up of Harry in cafe),"(Oh, yeah, Cybil...You haven't seen a little girl in this town have you?)"

70,Go to 4-1,"第三章　　「警察署での再会」                                                3-6警察署を捜し求めて                                   (Inside of Police Station)Chapter 3   ""Reunion at the Police Station""Seeking out the Police Station"

71,Page 7 (Harry appears),A man jumped up right away and pointed a black handgun at Cybil.

72,Go to 3-7,"第三章　　「警察署での再会」                                                3-7拳銃を向けた男                                       (Inside of Police Station)Chapter 3   ""Reunion at the Police Station""The man pointing the handgun at Cybil"

73,Page 1 (Inside of Police Station) (Harry appears with gun),"(Bang!)The bullet grazes Cybil's temple and impacts on the wall of the meeting room.Shocked, Cybil sank to the floor."

74,Go to 3-8,B ) fires at Cybil.

75,Go to 3-9,"第三章　　「警察署での再会」                                                3-8銃を下ろす男                                         (Inside of Police Station)Chapter 3   ""Reunion at the Police Station""The man lowers the gun"

76,Page 3 (Harry appears with pipe),"""Before I came here I found a steel pipe.I will give the handgun back to you.Like you said, I might end up shooting a human by mistake."""

77,Go to 3-10,"第三章　　「教会へ」                                                       3-10ハリーと教会へ                                         (City street, heavy fog)Chapter 3   ""To the Church""Heading to the church with Harry"

78,Page 8 (Harry appears with pipe),"""I will give this back to you.I have had a few opportunities to use it, but this seems more suited to me.""Harry says this and readies a long steel pipe that he picked up somewhere."

79,Go to 4-12,"第四章　　「小学校」                                                        4-1無人の校舎                                                    (School entrance)Chapter 4   ""Elementary School""The deserted school"

80,Page 4 (School entrance),Cybil may have been drawn here by someone.As she nears the elementary school part of her shirt becomes soakedwith clammy sweat.

81,Page 8 (Black),"The aged building reeked of a peculiar mildew.However, its insides were much cleaner than she had expected, andCybil found this a bit surprising."

82,"Page 10 (School hall, dark)",Cybil opened a door leading to a long hallway. She looked through theglass windows placed in the doors of the classrooms while slowly walking.There was no sign of Cheryl.

83,Page 14 (Black),"Cybil's consciousness grows distant...The End B-3You will now receive the following Digital Trading Cards:15. Harry27. Cemetery第八章　　「闇に映える業火」                                                8-1Ｂ１のランプ　                                                (Otherworld hall)Chapter 8   ""The hellfires shimmering in the darkness""The B1 lamp"

84,"Page 15 (Stairs, animated)","""Perhaps I am just dreaming all of this?"", Cybil thought.It is difficult for a person to tell whether they are dreaming or not whilein a dream, but for her to accept these conditions is just as difficult."

85,Page 18,Everything becomes bathed in white.The girl's face sways as if it were floating in the air.And then the girl softly calls Cybil's name.

86,Go to 4-2,"第四章　　「小学校」                                                        4-2物音                                                        (School hall, dark)Chapter 4   ""Elementary School""A noise"

87,Go to 4-3,B ) She heard the scream of a little girl.

88,Go to 4-4,"第四章　　「小学校」                                                        4-3ピアノの旋律                                                (School hall, dark)Chapter 4   ""Elementary School""A melody on a piano"

89,Page 5 (Music room),"""Who's there?""She says this and then opens the door.Inside the center of the room a grand piano has been placed. The piano appearscramped within the cozy room."

90,Page 11 (Cheryl in music room),"At the entrance to the music room a white faced girl was sitting still, andjust looking at Cybil.She appeared to be afraid of something, and her wide eyes were filled withtears that looked like jewels."

91,Go to 4-8,"第四章　　「小学校」                                                        4-7足に絡まる異物                                              (School hall, dark)Chapter 4   ""Elementary School""The thing tangled around Cybil's feet"

92,"Page 1 (School hall, dark)",Something is tangling and twisting around Cybil's feet.

93,Go to 4-5,"第四章　　「小学校」                                                        4-5何かが…                                                    (School hall, dark)Chapter 4   ""Elementary School""Something is..."

94,Go to 4-6,B ) Something at her feet...

95,Go to 4-7,"第四章　　「小学校」                                                        4-6揺れる小さな影                                              (School hall, dark)Chapter 4   ""Elementary School""The small swaying figure"

96,Page 3 (Black),"""You..."""

97,Page 4 (Cheryl in music room),"In the corner of the room a white faced girl was sitting still, andjust looking at Cybil.She appeared to be afraid of something, and her wide eyes were filled withtears that looked like jewels."

98,Page 8 (Close up of Cheryl in school),"Cybil raises her head.""Music Room"" is written on the door.The door is halfway open, and a little girl appears from inside.Her soft black hair stands out against her fair complexion."

99,Go to 4-11,"第四章　　「小学校」                                                       4-11闇に包まれ行く校舎                                          (School hall, dark)Chapter 4   ""Elementary School""The school becomes enveloped in darkness"

100,Page 1 (Cheryl in music room),"""Yeah.You mean the one that looks like a dog?I have seen it.But he was not ferocious.He won't attack anyone or anything like that."""

101,Go to 4-9,"B ) shakes her head ""yes""."

102,Go to 4-10,"第四章　　「小学校」                                                        4-9首を横に振るシェリル                                     (Cheryl in music room)Chapter 4   ""Elementary School""Cheryl shakes her head back and forth"

103,Go to 5-1,"第四章　　「教会」                                                         4-12ダリア・ギレスピー                                                     (Church)Chapter 4   ""Church""Dahlia Gillespie"

104,Page 3 (Church) (Dahlia appears),"""You are too late.""The woman mutters this and stands.""You are too late.The girl that you are looking for just left here."""

105,Page 15 (Black),In order to resurrect myself I will need your body. Please understand this...(Alessa)

106,Go to 5-5,"第五章　　「再びカフェ」                                                    5-1カフェに向かい歩き出す                                           (Street, dark)Chapter 5   ""Cafe, again""Walking toward the cafe"

107,"Page 1 (Street, dark)","""Just what time is it now?""Cybil curses the fact that she forgot her watch at the Brahms station.""It is probably late at night.""She no longer feels the headache or sleepiness from just before."

108,Page 7 (Cafe exterior),"And then, before she knew it the cafe was right in front of her."

109,Page 9 (Dead Air Screamer on Cafe floor),"Cybil led Cheryl through the entrance of the cafe.The inside of the cafe had been ravaged.The glass windows facing the street were broken and several tables wereknocked on their sides, so Cybil could not move any further in."

110,Go to 5-2,"第五章　　「再びカフェ」                                                    5-2荒らされた店内                                (Dead Air Screamer on Cafe floor)Chapter 5   ""Cafe, again""The ransacked cafe"

111,Page 1 (Dead Air Screamer on Cafe floor),"Cybil cautiously searches the monster.There is no doubt about it, the bullets lodged inside the monster's bodywere the ones loaded into the handgun that she had given Harry."

112,Go to 5-3,B ) cautiously moved towards the monster.

113,Go to 5-4,"第五章　　「再びカフェ」                                                    5-3何か手がかりは…                              (Dead Air Screamer on Cafe floor)Chapter 5   ""Cafe, again""Some kind of clue..."

114,Go to 6-1,"第五章　　「病院への道」                                                    5-5ハリーの背中を追って                                   (Harry leaning on a car)Chapter 5   ""The Path to the Hospital""Chasing after Harry"

115,Page 1 (Harry leaning on a car),"""Cough! Cough...!""Harry began to cough violently again.""Are you alright? You look like you are in pain..."""

116,Go to 5-6,"第五章　　「病院への道」                                                    5-6ハリーの様子                                           (Harry leaning on a car)Chapter 5   ""The Path to the Hospital""Harry's condition"

117,Go to 5-7,"第六章　　「教会」                                                          6-1鳴り続ける鐘                                                           (Church)Chapter 6   ""Church""The continuously ringing bell"

118,Go to 5-8,"第五章　　「病院への道」                                                    5-7再び話し出すハリー                                    (Cybil walking in street)Chapter 5   ""The Path to the Hospital""Harry begins to speak again"

119,Page 1 (Cybil walking in street) (Harry appears),"""Well, it's alright...A town in which snow is falling...The name Dahlia...And her daughter is with my daughter...The fact that they are together...""He lifts his head, and looks at Cybil."

120,Page 5 (Hospital gate),"Unable to make out the letters on an old signboard Cybil tries squinting.""Alchemilla Hospital"" is written in faded paint."

121,Page 10 (Black),"Harry opened the door.第五章　　「病院」「言われるままに来たが…」Chapter 5   ""Hospital""Although they came as told..."

122,Page 11 (Hospital reception),"Inside the hospital it is dark, and it seems that if one does not walkcarefully then they would stumble."

123,Go to 6-6,"第五章　　「病院への道」                                                    5-8激しく咳き込むハリー                                   (Harry leaning on a car)Chapter 5   ""The Path to the Hospital""Harry coughs violently"

124,Page 7 (Church) (Dahlia appears),"Cybil faced the eerie woman from a distance.The woman once more called out to Cybil: ""This way""Cybil mysteriously moved towards the woman."

125,Page 19 (Black),"After Dahlia disappeared behind a door Cybil regained herself. She tightlyheld Cheryl's hand and they left the church.第六章　　「教会を出て」「話し出すシェリル」Chapter 6   ""Leaving the Church""Cheryl begins to speak"

126,"Page 20 (City street, heavy fog)",Right after they left the church Cheryl began to speak.

127,Page 22,"Ah...Cybil's weak shouts were replaced by the sound of the water splashing.She slips and ends up in the whirlpool of the strong current, and isswallowed in the dark waters along with Cheryl."

128,Page 23,Harry has stopped moving. He looks at me and weeps. Then he begins to movetoward something off in the distance that looks like a dimly shining girl.

129,Page 24,I am ok...I can still move.The thing that came out of me is heading for its next target.

130,Go to 6-2,"第六章　　「教会を出て」                                                    6-2分からず屋のシェリル                                   (City street, heavy fog)Chapter 6   ""Leaving the Church""Obstinate Cheryl"

131,Go to 6-3,B ) She kindly admonishes Cheryl.

132,Go to 6-4,"第六章　　「教会を出て」                                                    6-3思わず声を荒げるシビル                                 (City street, heavy fog)Chapter 6   ""Leaving the Church""Cybil raises her voice without realizing it"

133,Go to 6-5,"第六章　　「教会を出て」                                                    6-5シェリルの決意                                         (City street, heavy fog)Chapter 6   ""Leaving the Church""Cheryl's resolution"

134,Go to 7-1,"第六章　　「探索」                                                          6-6病院の中は                                            (Hospital corridor, dark)Chapter 6   ""Searching""The inside of the hospital is..."

135,"Page 1 (Hospital corridor, dark)","""To realize this after coming up to the third floor...............""Cybil races back down the stairs that she just ran up in order toreturn to the first floor."

136,Go to 6-7,"第六章　　「探索」                                                          6-7シェリルの探索                                        (Hospital corridor, dark)Chapter 6   ""Searching""Searching for Cheryl"

137,Go to 6-8,B ) If I use the hospital intercom...

138,Go to 6-9,"第六章　　「探索」                                                          6-8扉の鍵を順に…                                        (Hospital corridor, dark)Chapter 6   ""Searching""First to find the key..."

139,Go to 6-10,"第六章　　「探索」                                                         6-10病院１階へ引き返す                                    (Hospital corridor, dark)Chapter 6   ""Searching""Cybil heads back to the first floor of the hospital"

140,Go to 7-16,"第七章　　「シェリルと二人」                                                7-1シェリルの呟き                                         (City street, heavy fog)Chapter 7   ""Together with Cheryl""Cheryl's muttering"

141,Go to 7-2,B ) Goodbye...

142,Go to 7-11,"第七章　　「用水路」                                                        7-2水のせせらぎ                                     (Cheryl leaning over the edge)Chapter 7   ""Aqueduct""The murmuring of water"

143,Page 2 (Aqueduct),"Water was splashing up from the strong current in the old aqueductthrough the white fog.Due to the bad weather, the water level had risen up to the fortifiedconcrete embankment. So rather than an aqueduct, it was more likean overflowing river that was in a dangerous state."

144,Go to 7-3,"第七章　　「用水路」                                                        7-3水流の中で揺れる人影                                                 (Aqueduct)Chapter 7   ""Aqueduct""The figure bobbing in the current"

145,Page 1 (Aqueduct),"""What's that...""A ) A girl is drowning."

146,Go to 7-4,B ) A boy is drowning.

147,Go to 7-5,"第七章　　「用水路」                                                        7-4溺れた少女                                       (Cheryl leaning over the edge)Chapter 7   ""Aqueduct""The drowning girl"

148,"Page 1 (Alessa in aqueduct, animated)","A girl stood alone in the current.She was fighting the strong current, and appeared to be holding on to afragile protrusion with all her might."

149,Page 2 (Cheryl leaning over the edge),"""Miss! Look!""Cheryl screamed, broke away from Cybil's hand, and then began to run towardthe boy."

150,Page 3 (Cheryl standing on the edge),"""Cheryl! That's dangerous!""Cybil instantly chased after her.A stone barrier runs parallel to the aqueduct. It is about shoulder-width andabout the height of a child."

151,Page 6 (Cheryl leaning over the edge),By the time Cybil caught up to Cheryl she was lying prone on top of the barrierand reaching out towards the embankment trying to grasp the boy's hair.

152,Page 12 (Close up of Cybil grasping a hand),"""Everything's all right, don't worry.""Cybil shouts out to give the girl hope.But the girl just appears to be caught on the protrusion like a rag, andperhaps that is the best way to describe her."

153,Page 20 (Alessa standing on the edge),"As Cybil is swallowed by the merciless current, she looks up and sees anothergirl on the barrier.There the unfamiliar girl looks down at Cybil with no expression on her face."

154,Go to 7-6,"第七章　　「暗黒」                                                          7-6黒の世界                             (Light coming from between elevator doors)Chapter 7   ""Darkness""World of black"

155,"Page 1 (Andy in aqueduct, animated)","A boy stood alone in the current.He was fighting the current, and appeared to be holding on to afragile protrusion with all his might."

156,Page 11 (Black),"The water is up to Cybil's knees. As the water pulls at her legs Cybil reachesher hand out toward the boy.The boy's face is covered in the white splashes, so Cybil cannot see it verywell."

157,Page 15 (Cheryl leaning over the edge),"""Miss! It is impossible!You too will be swept away by the current!""Cheryl calls out to Cybil from behind.Cybil has a maternal feeling thatshe must save this boy, even if it means she will end up getting swept away."

158,Page 17 (Black),"""Haa...Great... Are you ok?""The boy does not answer right away, and just takes troubled breaths over andover.It is not surprising because he just nearly drown."

159,Page 20 (Cheryl and Andy on the edge),"""What are you doing! Stop it now!"" (Cybil)""What do you know!Why don't you tell her to stop!"" (Andy)Cheryl falls into the water and begins to be swept away by the strong current."

160,Page 10 (Light coming from between elevator doors),"And then, the low sound of a motor runs through the floor and causesa slight quiver in Cybil's stomach.To her front she has only a glimpse of a single shaft of light.The light thinly extends up and down, and eventually expands to the left andright, revealing a small room.It is an elevator."

161,"Page 11 (Elevator, flickering)","The elevator doors have opened wide, and it sits ready, almost as if it hascome for Cybil.Cybil and the girl are lit by its light..."

162,Go to 7-7,"第七章　　「暗黒」                                                          7-7握り締めていたものは                                                 (Elevator)Chapter 7   ""Darkness""The thing that Cybil was holding on to was..."

163,"Page 1 (Elevator, flickering)","Cybil suppressed a shriek.""This...""A ) It was a green jelly-like object."

164,Go to 7-8,"B ) It was a slightly dirty, but familiar doll."

165,Go to 7-9,"第七章　　「暗黒」                                                          7-8緑色のゼリー物質                                        (Jelly in Cybil's hand)Chapter 7   ""Darkness""A green jelly-like substance"

166,"Page 1 (Jelly in Cybil's hand, flickering)",It was an unknown green jelly-like object.

167,Go to 7-10,"第七章　　「エレベーター」                                                 7-10下り続ける箱                                                (Cybil in elevator)Chapter 7   ""Elevator""The ever descending box"

168,"Page 1 (Doll in Cybil's hand, flickering)","It was a slightly dirty, but familiar doll."

169,"Page 1 (Cybil in elevator, flickering)","""I'm losing my mind...""She sobbed alone inside the elevator.The town, along with the lives of several people, had been swallowed upwithin the devil's dark garb."

170,Go to 8-1,"第七章　　「襲撃」                                                         7-11途方に暮れた二人                                       (City street, heavy fog)Chapter 7   ""Assault""The two of them, at their wit's end"

171,Page 6 (Cybil and Cheryl sitting on a bench),Thanks to the nearby tree towering above the bench the snow could no longerfall directly on them.

172,Go to 7-12,"第七章　　「襲撃」                                                         7-12冷え切ったシェリルの体                    (Cybil and Cheryl sitting on a bench)Chapter 7   ""Assault""Cheryl's cold body"

173,Page 1 (Cybil and Cheryl sitting on a bench),Cybil stared at Cheryl's small body for a bit.

174,Go to 7-13,B ) began to look for a safe building to rest in.

175,Go to 7-14,"第七章　　「襲撃」                                                         7-13シェリルを抱き寄せて                      (Cybil and Cheryl sitting on a bench)Chapter 7   ""Assault""Cybil holds Cheryl close"

176,Go to 7-15,"第七章　　「襲撃」                                                         7-15………………………。                      (Cybil and Cheryl sitting on a bench)Chapter 7   ""Assault""..........................."

177,"Page 3 (Street, heavy fog)","""Perhaps there is someplace warm somewhere?""Cybil leaves Cheryl sleeping on the bench and walks around to the nearbyhouses trying the doors."

178,Page 6 (Entrance to antique shop),After walking for a while Cybil discovers a garage door that is partiallyopen.

179,Page 8 (Cheryl sleeping on bench),"Cheryl is sleeping on the bench just as she was before.""Cheryl, please get up.You'll catch cold out here.I found a good place.Let's go there."""

180,Page 13 (Black),"Cybil carries Cheryl's body, and looks around to see if there is a hospitalnearby.""Wait.Calm down."

181,Page 11 (Close up of doll),Laughing.Ha ha.Coming from my stomach.A slightly dirty doll.Where are my parents?Have they already escaped?

182,Page 13 (Harry on black background),"He has come...to me.That man's name is...He said it was Harry.Definitely, Harry is what...He said it was..."

183,Page 18 (Black),Something small has passed through me.It doesn't hurt.It hurts.My clothes are soaked.I will die.Protect the girl.

184,Page 22 (Cybil on the ground),"""In my fading consciousness, I can see Harry shaking me."

185,Page 25,And I know who that will be.

186,"Page 26 (Harry walking away, flickering)",If I cannot let Harry know this then something horrible will happen.But I cannot speak.It is because a bullet went through the side of my lung...So I cannot put any power into my voice.

187,Page 27,Harry has began to run.I am not yet dead.But he thinks that I am.

188,Page 28,"Even if I must crawl, I must move on.Cheryl is in danger.I must get there first...Harry will get there soon enough.But I must get there before then, and I must stop him."""

189,Go to 8-6,"第七章　　「少女の影」                                                     7-16足音                                                  (Hospital corridor, dark)Chapter 7   ""A figure of a girl""Footsteps"

190,"Page 1 (Stairs, animated)",On her way down the stairs Cybil heard footsteps as she was passing thesecond floor.(Harry...?)

191,"Page 3 (Hospital corridor, light)",There is a large window at the end of the hall.White light from the foggy outside is reflecting off the floor.Without realizing it Cybil squinted.

192,Page 5 (Alessa's silhouette appears),"From the shape of the outline of the human visible in the darknessCybil can tell that it is not Harry...It looks like a girl.第七章　　「少女の影」「動けぬシビル」Chapter 7   ""The Figure of a Girl""Cybil cannot move"

193,Page 10 (Ball of light flashes on Alessa's silhouette),"""Wha...?""""Watch out! Cybil!Get down!!""It is Harry's voice.At the moment Cybil drops down the bullet of light slices through the air,and impacts into something behind her."

194,Page 11 (Alessa's silhouette disappears),"(Well, that takes care of...one of them...)第七章　　「少女の影」「消えた少女」Chapter 7   ""The figure of a girl""The girl vanishes"

195,Page 12 (Harry on floor),"The girl vanishes.Cybil turns and sees Harry laying face down, holding his hand to his chest."

196,Go to 7-17,"第七章　　「少女の影」                                                     7-17怪我を負ったハリー                                             (Harry on floor)Chapter 7   ""The Figure of a Girl""Harry has suffered an injury"

197,Page 1 (Harry on floor),"Harry calls forth the last of his strength and opens his eyes wide.""...Cybil...look out...!""The dim corridor is lit with blindingly bright light, and Cybil's shadowextends forward."

198,Go to 7-18,"第七章　　「少女の影」                                                     7-20大きく目を見開くハリー                            (Alessa in hospital corridor)Chapter 7   ""The figure of a girl""Harry opens his eyes wide"

199,Go to 7-19,C ) opens his eyes wide.

200,Go to 7-20,"第七章　　「少女の影」                                                     7-18絶命するハリー                                                 (Harry on floor)Chapter 7   ""The figure of a girl""Harry dies"

201,Go to 8-12,"第七章　　「少女の影」                                                     7-19少女について語るハリー                                         (Harry on floor)Chapter 7   ""The Figure of a Girl""Harry talks about the girl"

202,Page 2 (Alessa in hospital corridor) (Ball of light is flashing),"Cybil turns...and notices the girl has another bullet of light in her hand.""Stop it...Cheryl......no more..."""

203,Page 5 (Flashing stops),"The area flashes with light.Harry is gone, and the floor tile where he was has been burned black."

204,Page 6 (Flashing begins again),Now only Cybil and the girl are in the corridor.

205,Go to 7-21,"第七章　　「少女の影」                                                     7-21少女と対峙するシビル                                           (Harry on floor)Chapter 7   ""The Figure of a Girl""Cybil faces the girl"

206,Page 1 (Alessa in hospital corridor) (Ball of light is flashing),"""I have to fight.I cannot run from this.""Cybil felt this instinctively."

207,Go to 7-22,B ) She must fight.

208,Go to 7-23 (Ending B-3),"第七章　　「少女の影」                                                     7-22気力を振り絞り逃げる　                            (Alessa in hospital corridor)Chapter 7   ""The Figure of a girl""Cybil flees with all her might"

209,Go to 9-2 (Ending B-1),"第九章　　「カフェ」                                                        9-2降りしきる雪                                          (Cybil walking in street)Chapter 9   ""Cafe""Steadily falling snow"

