id;name;thread; go_to
35;Page 5;Однако, сколько я ни бегу, я не могу догнать меня. Вместо этого фигура постепенно удаляется от меня. Фигура набирает скорость, как будто скользит по воздуху.;
36;Page 6 (Middle of street, heavy fog);Фигура кажется поглощенной туманом, когда она начинает исчезать. Чтобы не потерять ее, я бегу изо всех сил, не сводя глаз с фигуры.;
37;Page 7;Затем я замечаю, что пришел в переулок, окруженный зданиями.;
38;Page 8 (Dark alley);Я не знаю как, но это как если бы на небо было наложено покрывало, которое до сих пор давало свет, и местность погрузилась во тьму.;
39;Go to 1-5; Глава 1 «Присутствие горожан» Здесь больше никого нет?;
40;Page 1 (Street corner, heavy fog);Я подумал, что должен узнать, есть ли здесь кто-нибудь кроме меня. Это определенно Сайлент Хилл. Я узнаю вывеску на этом магазине. Давным-давно, когда я был молод, я однажды побывал здесь.;
41;Page 2;Все двери в магазинах и домах наглухо закрыты. Нет... Среди них есть один магазин с открытой дверью, но внутри никого нет.;
42;Page 3;Такое ощущение, что просто люди здесь внезапно исчезли.;
43;Go to 1-3;Глава 1 «Множество шагов» 1-5 Темный переулок «Множество шагов» Жуткий переулок;
44;Page 1 (Dark alley);Из темноты я слышу несколько приближающихся шагов... А) Я не знаю, кто это. Я посмотрю.;
45;Go to 1-6;Б) Я собираюсь выбраться отсюда... У меня нет с собой ничего, что можно было бы использовать в качестве оружия.;
46;Go to 1-7; Глава 1 «Слушай внимательно» Гарри осматривает 1-6 Темный переулок;
47;Page 1 (Dark alley);Я стоял наготове. «Что за… Что они…» В звериной ярости они приблизились к тому месту, где я нахожусь.;
48;Page 2 (Mumblers appear, then fade);"""Ах..."" А потом эти монстры странной формы высасывают мою жизненную силу, пока я наконец не теряю сознание............";
49;Go to 2-1;"Глава 1 ""Побег во тьму""Гарри убегает";
50;Page 1 (Dark alley);Я должен уйти. Но я не могу вернуться тем путем, которым я пришел... потому что это жуткое присутствие снова там...;
51;Page 2;Так что я продвигаюсь дальше. Я могу только постепенно продвигаться по сужающемуся кромешно-черному переулку, ощупывая его руками.;
52;Page 3;Но в итоге я захожу только в тупик. Территорию окружают металлические заборы, и они такие высокие, что я не думаю, что смогу перелезть через них.;
53;Page 4;Они идут сзади...;
54;Page 5;Я стоял наготове. «Что за… Что они…» В звериной ярости они приблизились к тому месту, где я нахожусь.;
55;Page 6 (Creatures appear, then fade);"""Ах..."" А потом эти монстры странной формы высасывают мою жизненную силу, пока я наконец не теряю сознание............";
56;Go to 2-1; Глава 2 «Руковая встреча» Гарри встречает Сибил Беннет;
57;Page 1 (Black);Сибил Беннет. Она штатный полицейский, работающий в соседнем городке Брамс. В кафе не было никого, кроме нее и Гарри. Она села за стойку и подождала, пока Гарри проснется. Фильм: Гарри просыпается. в кафе 5 на 2;
58;Page 2;Я внезапно проснулся. Где это место? Почему я здесь? Меня сюда кто-то привел? Между мечтой и явью нет границы, только путаница.;
59;Page 3;"Когда я лежу на скамейке в кафе, мои глаза постепенно начинают фокусироваться. Женщина, сидящая за стойкой, встает и складывает руки на груди. Она подходит и смотрит на меня сверху вниз. Глава 2 ""Кафе"" ""Сибил Беннет"" Глава 2 ""Кафе"" Сибил Беннет";
60;Page 4 (Cybil standing in the center of the cafe);Она одета в полицейскую форму. Женщина слегка улыбается, кажется, она чувствует облегчение от того, что я пришел в сознание.;
61;Page 5;«Похоже, ты пришел в себя». «Кто ты?» Я пытаюсь заговорить с незнакомой женщиной.;
62;Page 6;«Я Сибилл. Сибил Беннетт. Я здесь, потому что вся связь с этим городом внезапно прервалась, и поэтому я Пришла, чтобы разобраться».;
63;Page 7;"""Я... Гарри Мейсон. Я привёз свою дочь в этот город на экскурсию, но по дороге случилось несчастье, и я потерял сознание... О, да, Сибил... Ты ещё не видела маленькая девочка в этом городе есть у тебя?""";
64;Page 8 (Cybil's picture changes);"""Маленькая девочка... Нет, я ее не видел..."" ""Когда я пришел в себя после аварии, моей дочери нигде не было видно. Пассажирская дверь была открыта, и ее не было.";
65;Page 9;Шерил... э-э, простите, мою дочь зовут Шерил... Она робкий человек, поэтому трудно представить, что она отправилась в этот странный город одна. Плюс я был там на водительском сиденье... И так как она не предупредила меня, это просто не имеет смысла.;
66;Page 10;"Вы знакомы с этой местностью? Там никого нет, и что происходит со снегом в это время года... Что вообще произошло в этом городе?"" Я сказал все это, глубоко дыша.";
67;Page 11 (Cybil's picture changes);«Боюсь, я тоже не знаю. Я до сих пор не видел никого, кроме тебя. Город будто тихий, как кладбище, и даже нет возможности связаться с соседними городами». «Понятно».;
68;Page 12;«Ты ведь тоже попал в аварию, верно? Я подумал, что было бы неплохо поехать в полицейский участок в этом городе в одиночку на мотоцикле, но… Наверное, я ехал слишком быстро.;
69;Page 13;Внезапно на дорогу выскочила девушка... Я почти уверен, что это была девушка... Я чуть не сбил ее. Я сильно порезал руль, чтобы избежать ее... После этого я почти ничего не помню.... ..;
70;Page 14;Когда я пришел в себя, я лежал на улице перед этим кафе. Естественно, я пришел сюда, чтобы выбраться из снега. А потом я нашел тебя там спящим...»;
71;Page 15;"""Мне... снился какой-то страшный сон. Что касается того, добралась ли я сюда одна, то я совсем не помню... Что же, черт возьми, случилось в этом городе... Что такое происходит со всем?""";
72;Page 16;«Ну, ситуация определенно странная. Я вернусь к Брамсу за подкреплением, а затем вернусь сюда. А вы?» Сибил встала и с непоколебимой стойкостью поправила ошейник.;
73;Page 17;«Я должен найти Шерил… Я не могу оставить ее здесь одну».;
74;Page 18 (Gun in Cybil's hand);«Понятно. Что ж, тогда я дам тебе это. Никогда не знаешь, что может случиться при таких обстоятельствах. Если ты чувствуешь угрозу, нажми на курок, не колеблясь».;
75;Go to 2-2; Глава 2 «Пистолет» Сибил протягивает пистолет 2-2 Пистолет в руке Сибил;
76;Page 1 (Gun in Cybil's hand);Я беру пистолет в руки. А ) Спасибо... Надеюсь, мне не придется его использовать...;
77;Go to 2-3;Б) Спасибо, но... я не умею обращаться с оружием.;
78;Go to 2-4; Глава 2 «Вес пистолета» Гарри получает пистолет от Сибил.;
79;Page 1 (Cybil standing in the center of the cafe);Никогда раньше не державший в руках пистолет, я удивлен тем, насколько он тяжелый.;
80;Page 2;«Но ты… ты будешь в порядке?» «Я не такая, как здешние обычные девушки. Я прошла надлежащее обучение».;
81;Page 3 (Close up of Cybil in front of cafe door);Сибил положила руку на выходную дверь, но тут же оборачивается и снова смотрит на меня.;
82;Page 4;«Гарри. Не стреляй в меня по ошибке или что-то в этом роде. У меня нет никакого обучения тому, как останавливать пули». Сказав это, она улыбнулась и исчезла в густом тумане.;
83;Page 5 (Empty cafe);(Нет текста, страница автоматически закрывается);
84;Go to 2-5; Глава 2 «С оружием нехорошо» Сибил показывает Гарри, как пользоваться оружием;
85;Page 1 (Cybil standing in the center of the cafe);«Спасибо, но… я не умею обращаться с оружием. Я даже не прикасался к нему. Я не могу с ним справиться».;
86;Page 2 (Gun in Cybil's hand);Пораженная, Сибил делает глубокий вдох. — Это просто. Я покажу вам, как им пользоваться. Послушайте, сначала возьмите его в правую руку, а затем положите указательный палец на спусковой крючок. Я неохотно последовала ее инструкциям.;
87;Page 3;"""Вот так?"" ""Да. Теперь положите левую руку на правую, чтобы она не двигалась. Тогда все, что вам нужно сделать, это сдвинуть это, прицелиться и нажать на спусковой крючок"". ""Вот так?""";
88;Page 4 (Black);Взрыв! Пуля задевает щеку Сибил и пробивает стену кафе. Одна из картин на стене падает.;
89;Page 5 (Cybil standing in the center of the cafe);"""Он... Эй! Ты должен это посмотреть!!"" ""Извини, я просто делал то, что ты сказал, и это просто..."" ""Нет, это не ""и это просто..."" Всего несколько сантиметров больше, и ты был бы убийцей!»";
90;Page 6;Я потерял еще больше уверенности в себе. «Ну, все в порядке. Пожалуйста, используйте его осторожно. Ну, тогда… я ухожу». Звук закрывающейся двери печально эхом отозвался в кафе.;
91;Page 7 (Close up of Cybil in front of cafe door);(Нет текста, страница автоматически закрывается);
92;Go to 2-5;" Глава 2 ""Опять одна"" Сибил выходит из кафе 2-5 Сибил (Радио крупным планом)";
93;Page 1 (Harry with the gun in the cafe);Оставшись один в кафе, я некоторое время смотрел на пистолет, который дала мне Сибилл. А потом я подумал о Шерил, исчезнувшей в этом городе.;
94;Page 2;Фигура, которую я увидел в тумане... Это точно была Шерил. Но она не отвечала на мои звонки и, возможно, удалялась от меня?;
95;Page 3;Я не понимаю... Я немного запутался. Тем не менее, одно я знаю точно, это то, что Шерил исчезла в этом городе.;
96;Page 4;Все, что я могу сделать, это искать ее. Возможно, я ничего не знаю об окрестностях или каких-либо зацепок, но я не найду Шерил, если останусь здесь. Я энергично встал и положил руку на дверь кафе.;
97;Page 5;(JiJiJi...JiJi...JiJiJi.........) (Звукоподражание для радиостатических помех);
98;Page 6;Что-то шумит.;
99;Page 7;(JiJiJiJi...JiJiJiJi...JiJi...) (Звукоподражание для радиостатических помех);
100;Page 8;?;
101;Go to 2-6;"Глава 2 ""Источник шума"" Откуда-то исходит шум...";
102;Page 1 (Harry with the gun in the cafe);Что это за шум? A) Он где-то внутри кафе...;
103;Go to 2-7;Б) Это где-то за пределами кафе...;
104;Go to 2-8;Глава 2 «В кафе?»Гарри берет рацию;
105;Page 1 (Harry with the gun in the cafe);Я осматриваю кафе. Я иду в направлении, откуда исходит шум. И затем я улавливаю источник шума. «Радио?»;
106;Page 2 (Close up of radio);(Нет текста, страница автоматически закрывается);
107;Page 3 (Air Screamer breaking cafe window);В этот момент оконное стекло с грохотом разлетелось вдребезги, и в кафе влетело гигантское птицеподобное существо.;
108;Page 3 (Air Screamer, animated);Нет, это не птица. Это существо с красновато-коричневой кожей, как будто обожженной.;
109;Page 4;По его воинственным бледно-зеленым глазам видно, что моя жизнь в опасности.;
110;Go to 2-9;Глава 2 «Вне кафе?»Радио за окном;
111;Page 1 (Street outside of the cafe);Снаружи? Я открываю дверь и выбегаю на улицу. Снег все еще продолжает падать. Я вдыхаю холодный наружный воздух и чувствую, что просыпаюсь.;
112;Page 2;Шум, который я только что слышал, прекратился. Его заглушает ветер? Вскоре на мой вопрос был дан ответ.;
113;Page 3;"Сквозь стекло я вижу, что в кафе на столе лежит радио. ""Это что..."" Я тут же вернулся в кафе.";
114;Page 4 (Close up of radio);Шум прекратился. Подумав, что это может кому-нибудь пригодиться, я засовываю рацию в карман и снова иду к выходу из кафе.;
115;Go to 2-17; Глава 2 «Посланник с неба» В этом внезапном нападении Гарри...;
116;Page 1 (Air Screamer, animated);I...A ) спрятаться под столом.;
117;Go to 2-10;Б) приготовь пистолет в моих неопытных руках.;
118;Go to 2-11;в) выбежать из кафе.;
119;Go to 2-12;"Глава 2 ""Под стол"" Гарри моментально прячется";
120;Page 1 (Animated flying creature);Я тут же спрятался под ближайший стол. Однако это оказалось умнее, чем я думал.;
121;Page 2;На первый взгляд его ноги кажутся тонкими, но он широко расставляет их и использует свои длинные когти как инструмент, чтобы поднять стол, а затем громко смеется.;
122;Page 3;У меня нет выбора. Я должен попытаться бороться. Но если я случайно буду стрелять вслепую, то я буду тратить только пули.;
123;Page 4;Вот и все. Я должен поставить перед собой цель. Его тело. Когда оно расправит крылья, в тот момент, когда его тело будет беззащитно, я...;
124;Page 5;Он замахивается на меня своим большим крылом, похожим на руку, и, используя это «оружие», просто не попадает мне в шею.;
125;Page 6;Это мой шанс. Цель - его тело... Бормоча, я говорю себе это. Однако... Я не могу хорошо прицелиться. Мои руки трясутся.;
126;Page 7 (Dead Air Screamer on cafe floor);Когда эта единственная пуля попала в него... Он окончательно потерял свою жизненную силу и упал на пол, как тряпка.;
127;Go to 2-16;Глава 2 «Огонь» Гарри готовит пистолет в своих неопытных руках.;
128;Page 1 (Air Screamer, animated);«Черт!» Я крепко сжал пистолет, который только что получил, быстро направил его на существо и нажал на курок.;
129;Page 2;Я не привык пользоваться оружием, поэтому некоторые мои выстрелы попали в потолок.;
130;Go to 2-13;Глава 2 «Вне кафе»Гарри не может драться в тесном помещении;
131;Page 1 (Air Screamer, animated);Я должен выбраться отсюда. Снаружи. Я не могу так хорошо передвигаться в тесном помещении. Однако...;
132;Page 2;Словно читая мои мысли, он движется к единственной двери внутри или снаружи кафе, преграждая мне путь. Я не могу убежать.;
133;Page 3;Затем, как только я подумал, что, возможно, он оттянул одно из своих крыльев далеко назад, он замахнулся им на меня, едва не задев мою шею. «Ах!»;
134;Page 4;Я едва избежал смерти, но в процессе я упал навзничь.;
135;Page 5;Однако я не выпускал из рук пистолет.;
136;Page 6;Цель - крыло...;
137;Page 7;Если я смогу уничтожить его крыло, он не сможет двигаться. Тогда я смогу закончить его на досуге. (Звучит выстрел, затем Air Screamer падает);
138;Page 8 (Dead Air Screamer on cafe floor);Мой единственный выстрел попадает в крыло, пробивая в нем дыру. Существо теряет высоту, когда падает на пол.;
139;Page 9;Я не могу позволить себе тратить патроны впустую. Я много раз раздавливал его толстой подошвой своего ботинка. Когда его странные крики стихают, на полу расплывается темно-красное пятно.;
140;Go to 2-16; Глава 2 «Цель» Фокусировка цели на чем-то одном;
141;Page 1 (Air Screamer, animated);Я ограничиваю свою цель... А) Его уязвимое место - это... его тело.;
142;Go to 2-14;Б) Нацеливание на крыло приведет к его падению.;
143;Go to 2-15;Глава 2 «Цель — его тело»Гарри фокусирует свой прицел на его теле;
144;Page 1 (Air Screamer, animated);Вот и все. Я должен прицелиться. Его тело. Когда оно расправляет крылья, в тот момент, когда его тело беззащитно, я...;
145;Page 2;Он замахивается на меня своим большим крылом, похожим на руку, и, используя это «оружие», просто не попадает мне в шею.;
146;Page 3;Это мой шанс. Цель - его тело... Бормоча, я говорю себе это.;
147;Page 4;Однако... Я не могу хорошо прицелиться. Мои руки трясутся. (Звук выстрела, затем падает Air Screamer);
148;Page 5 (Dead Air Screamer on cafe floor);Когда мой третий выстрел пронзает его... Он окончательно потерял свою жизненную силу и упал на пол, как тряпка.;
149;Go to 2-16; Глава 2 «Цель — его крыло» Гарри фокусирует свой прицел на его крыле.;
150;Page 1 (Animated Air Screamer);Эти большие крылья. Он ловко пользуется ими, чтобы сохранять равновесие в воздухе.;
151;Page 2;Если я уничтожу его крыло, он не сможет двигаться. Тогда я смогу закончить его на досуге. (Звучит выстрел, затем Air Screamer падает);
152;Page 3 (Dead Air Screamer on cafe floor);Мой единственный выстрел попадает в крыло, пробивая в нем большую дыру. Существо теряет высоту, падая на пол.;
153;Page 4;Я не могу позволить себе тратить патроны впустую. Я много раз раздавливал его толстой подошвой своего ботинка. Когда его странные крики стихают, на полу расплывается темно-красное пятно.;
154;Go to 2-16;"Глава 2 ""После битвы""Это не сон...";
155;Page 1 (Close up of Harry in the cafe);"""Какого черта... Это не сон. Что происходит с этим местом?""";
156;Page 2;В кафе разносится только звук удара моего кулака по столу. У моих ног лежит еще теплый труп существа в центре лужи непонятного цвета жидкости.;
157;Go to 2-17;Глава 2 «Гарри выходит из кафе»Гарри направляется в переулок 2-17 Крупный план Гарри в кафе;
158;Page 1 (Street outside of the cafe);Выйдя из кафе, я решил сначала направиться к тому переулку.;
159;Go to 3-1; Глава 3 «Гарри покидает кафе» А теперь...;
160;Page 1 (Air Screamers in the sky);Черные фигуры летают в небе, словно ища добычу. Затем я осознаю постоянную вещь. Статика на радио меняется в зависимости от их движений.;
161;Page 2;Чем ближе ко мне подходят монстры, тем громче становятся помехи. Моему зрению мешает туман, да еще и погода такая плохая, что идет снег. Так что это чрезвычайно важная информация.;
162;Page 3;"Я бегу по снегу, который, кажется, не собирается останавливаться. Увеличивая скорость каждый раз, когда по рации появляются помехи, я продвигаюсь в туман. Кафе ""Переулок""";
163;Page 4 (Alley);Следуя по тонкой ниточке воспоминаний, я наконец попадаю в переулок, который был прежде. Злая атмосфера рассеялась, и свет льется вместе со снегом между домами.;
164;Page 5;Я иду в переулок, и через некоторое время он заканчивается тупиком.;
165;Page 6 (Sketchbook);В конце переулка я вижу знакомый альбом для рисования, который, кажется, был выброшен. На обложке альбома изображено мое изображение, которое нарисовала Шерил.;
166;Page 7;«Это точно Шерил…» (открывается альбом для рисования);
167;Page 8 (Open sketchbook);"Пытаюсь открыть. Внутри красными чернилами написано: ""в школу"" Глава 3 ""Гарри выходит из кафе"" Вдоль улицы Левин";
168;Page 9 (Black);По улице Левин я проскальзываю через черный ход дома, в котором была собачья будка, и затем направляюсь к школе. Окружение постепенно заполняется тьмой, и только фонарик на моей груди освещает эту странную улицу.;
169;Go to 4-1;Глава 4 «Вход на территорию начальной школы»Наступление новой тьмы;
170;Page 1 (School entrance);Я прохожу через вход на территорию начальной школы. Когда я открываю дверь, ведущую в здание школы, я вижу, что внутри меня ждет еще большая тьма.;
171;Page 2;Возможно, что Шерил написала эти письма «в школу». Я не уверен, здесь Шерил или нет. Просто у меня нет никакой подсказки, кроме этого альбома для рисования.;
172;Page 3;"Карта-путеводитель по школе была прикреплена к боковой стене входа ржавой канцелярской кнопкой. Сняв карту со стены, я кладу ее в карман и толкаю тяжелую дверь, ведущую внутрь школьного здания. 「小学校」「学校廊下」Глава 4 ""Начальная школа""Школьный коридор";
173;Page 4 (School hallway, dark);Мои шаги и скрип в коридоре... Они звучат как крики, а их реверберация сотрясает мои барабанные перепонки. Я шел осторожно, шаг за шагом, но, сам того не осознавая, побежал.;
174;Page 5;Никого не видно. Безмолвные внутренности школьного здания темны, и с фонариком на груди я не могу разглядеть ни одной детали. У Шерил нет фонарика, так что если она вошла сюда и заблудилась, тогда она, наверное, даже не смогла бы ходить.;
175;Page 6;Поскольку у меня включен фонарик, она должна легко меня заметить... По крайней мере, у меня есть такая скромная надежда.;
176;Page 7;Затем я замечаю, что подошел ко входу в музыкальную комнату, кладу руку на тяжелую дверь Глава 4 «Начальная школа» Музыкальная комната;
177;Page 8 (Piano in music room);Когда я открываю дверь, я вижу, что внутри комната большая, а в ее центре стоит рояль.;
178;Page 9;Когда я сижу на стуле у пианино, я в шоке. Сиденье все еще теплое, как будто кто-то сидел здесь всего несколько минут назад. Улыбка Шерил проносится в глубине моего сознания.;
179;Page 10;Шерил часто играла у нас дома на дешевом пианино. Когда я работала, оно служило хорошим фоном. Может быть, Шерил приходила в музыкальную комнату? Глава 4 «Начальная школа» Рояль;
180;Page 11 (Piano keys);Я осторожно открываю крышку над клавишами пианино. Я замечаю, что среди черного и белого смешано красное. Я пытаюсь дотронуться до жидкости. Она теплая на ощупь, она все еще сохраняет тепло. Это определенно кровь.;
181;Page 12;Мое сердце колотится в груди, как тревожный звоночек. Большое количество крови пролилось на ключи... Если это кровь Шерил, то, возможно, ее уже нет в живых. Я вытираю пятно с рук о джинсы, встаю и выйти из музыкальной комнаты.;
182;Page 13 (Black);"В то же время я закрыл дверь, мне показалось, что я услышал чей-то крик.........Может быть, мне показалось? Глава 4 ""Прихожая начальной школы"" Темный двор";
183;Page 14 (School hallway, dark);Я иду по коридору. В окна, выходящие во двор, сильно стучит мокрая смесь снега. Я смотрю через окно на темный двор.;
184;Page 15;Небольшой двор усеян участками, на которых растут увядшие растения. Вдобавок к этому слабо видна старая башня с часами. Отсюда я не могу определить, на какое время указывают часы.;
185;Page 16;Подождите. Кажется, что-то извивается в темноте. Животное? Нет, темно и я плохо вижу, но он медленно передвигается на двух ногах. Похоже, ищет добычу.;
186;Page 17 (Radio begins making noise);(JiJiJiJi...JiJiJi.........) (Ономатопея для радиопомех) В этот момент радио, которое я прикрепил к своей груди, внезапно начало шуметь. через мое бедро.;
187;Page 18 (Mumbler, animated);Когда я смотрю вниз, я вижу, что кончики этих длинных когтей пронзают мое бедро. Эти монстры странной формы. Они стоят так, будто хотят обнять меня и собрались вокруг моей талии. Они собираются меня укусить.;
188;Go to 4-2; Глава 4 «Прихожая начальной школы» Встреча с монстрами странной формы;
189;Page 1 (Mumbler, animated);I...A ) Мгновенно оттолкнул монстра руками.;
190;Go to 4-3;Б) Приготовил пистолет и выстрелил.;
191;Go to 4-4;Глава 4 «Прихожая начальной школы» Гарри толкает;
192;Page 1 (Mumbler, animated);Правой рукой я с силой нажимаю на его головную часть и отбрасываю. Затем он шатается и падает лицом вниз. Именно тогда я заметил, что был полностью окружен этими монстрами.;
193;Page 2;Я готовлю пистолет. Я целюсь им в головы и нажимаю на курок дрожащим указательным пальцем. (Звук выстрела);
194;Page 3;Я продолжаю стрелять, когда появляется каждый из них. Дым от пороха начал наполнять воздух вокруг меня, поэтому я закрыл рот одной рукой.;
195;Go to 4-5;"Глава 4 ""Прихожая начальной школы"" Гарри стреляет";
196;Page 1 (Mumbler, animated);Я мгновенно приготовил револьвер, который носил с собой, и выстрелил в монстра. (Звук выстрела);
